,gene_name,gene_biotype,P14E1KO_1_1_count,P14E1KO_1_3_count,P14E2KO_1_1_count,P14E2KO_1_3_count,P14E1WT_2_2_count,P14E1WT_2_4_count,P14E1WT_2_5_count,P14E2WT_2_1_count,P14E2WT_2_5_count
Cd47,Cd47,protein_coding,733,777,822,1319,2009,1986,1165,1364,1773
Wwp2,Wwp2,protein_coding,2672,2591,2808,3107,1978,1841,2119,2199,2065
Chst13,Chst13,protein_coding,10,2,13,6,73,36,19,38,84
Hnrnpf,Hnrnpf,protein_coding,5031,3898,5091,5979,6647,5857,5706,5697,5590
Slfn5,Slfn5,protein_coding,5,27,20,30,122,333,37,51,186
Psma5,Psma5,protein_coding,1021,1028,1385,1597,2192,1818,1726,1755,1863
Anxa5,Anxa5,protein_coding,803,552,684,968,1217,1083,909,882,1002
Fam193b,Fam193b,protein_coding,2250,1685,2580,2848,1260,1494,1699,2030,1576
Zfp36l2,Zfp36l2,protein_coding,12903,7347,10993,17018,8247,5737,6915,8781,6017
Sytl1,Sytl1,protein_coding,1464,1215,862,1801,564,765,622,940,665
Rfx2,Rfx2,protein_coding,205,100,206,103,59,31,75,56,32
Nckap5,Nckap5,protein_coding,15,21,42,45,149,152,53,44,157
S100pbp,S100pbp,protein_coding,394,364,495,531,154,173,302,261,175
Prdm1,Prdm1,protein_coding,56,48,102,82,197,179,107,97,257
Cd38,Cd38,protein_coding,3267,3554,3453,5122,9341,8220,5735,6326,10727
Pde8a,Pde8a,protein_coding,202,165,307,204,82,44,119,125,70
Dgkh,Dgkh,protein_coding,1449,1459,1604,1611,679,899,1129,922,624
Calr,Calr,protein_coding,13457,11362,14655,16643,25493,21453,16782,17990,20433
Siae,Siae,protein_coding,500,427,465,654,366,337,425,379,299
Fgfr3,Fgfr3,protein_coding,1380,749,822,1444,481,537,689,850,461
Mink1,Mink1,protein_coding,3610,2734,3639,3985,2226,2456,2398,2669,1765
Sema3e,Sema3e,protein_coding,0,6,3,1,17,42,13,6,34
Tppp,Tppp,protein_coding,2992,2096,2162,2675,475,697,1365,1188,521
Tfpi2,Tfpi2,protein_coding,129,101,156,156,64,67,108,94,65
Sh3glb2,Sh3glb2,protein_coding,1781,1707,2101,2108,1403,1412,1435,1673,1386
Cyp2d34,Cyp2d34,protein_coding,7947,5833,7836,6620,2010,2688,3912,3740,5631
Surf4,Surf4,protein_coding,4482,3677,4746,5549,7286,5815,5239,5570,6047
Slc25a4,Slc25a4,protein_coding,465,223,426,403,958,602,631,533,560
Rab4a,Rab4a,protein_coding,640,709,724,879,401,370,501,590,388
Myzap,Myzap,protein_coding,334,391,484,329,152,219,214,214,221
Hmg20b,Hmg20b,protein_coding,2127,1897,2784,2279,1473,1304,1644,1932,1324
Eml2,Eml2,protein_coding,727,527,700,861,907,824,881,833,775
Nyap1,Nyap1,protein_coding,297,343,675,420,72,153,210,299,102
Ttll6,Ttll6,protein_coding,1198,900,1042,1855,403,468,707,949,448
Dnajc3,Dnajc3,protein_coding,2562,1933,2400,2668,3809,3618,2983,2892,3251
Srp72,Srp72,protein_coding,2041,1626,2112,2462,2952,2724,2299,2462,2431
Gm45855,Gm45855,processed_pseudogene,243,196,273,359,417,369,330,366,317
Qser1,Qser1,protein_coding,603,478,713,843,900,877,810,817,731
Myef2,Myef2,protein_coding,309,325,424,389,547,541,570,437,558
Ano10,Ano10,protein_coding,1178,1174,1419,1306,685,681,895,830,641
Cd177,Cd177,protein_coding,7709,5536,6960,11259,16495,17481,15460,17237,13299
Dars,Dars,protein_coding,1205,852,1221,1489,1594,1396,1406,1439,1354
Megf8,Megf8,protein_coding,921,712,1018,1194,846,773,777,798,752
Pcsk9,Pcsk9,protein_coding,1642,1450,1673,2487,6125,3677,3361,2916,4241
Urah,Urah,protein_coding,233,204,241,363,483,411,349,431,532
Mtx2,Mtx2,protein_coding,868,749,835,1148,1194,1072,1130,1105,1072
Hfe,Hfe,protein_coding,156,138,159,191,112,83,90,111,92
Mmp15,Mmp15,protein_coding,2956,2110,2526,3612,1438,1989,1765,2095,1200
Canx,Canx,protein_coding,6070,5413,7205,8060,10245,9537,8240,8581,8494
Acer1,Acer1,protein_coding,682,547,629,735,226,273,464,448,245
Ptges3,Ptges3,protein_coding,1631,1192,1876,1992,2628,2101,2088,2161,1966
Rpe,Rpe,protein_coding,774,675,804,1035,1224,1133,954,979,1025
Naprt,Naprt,protein_coding,1651,1411,1819,2233,959,1018,1332,1487,1180
Gm31363,Gm31363,lincRNA,22,23,29,40,3,6,12,14,7
Tlcd1,Tlcd1,protein_coding,320,250,316,376,237,180,255,239,177
Gm42684,Gm42684,TEC,23,53,14,33,6,7,10,6,4
Smpdl3b,Smpdl3b,protein_coding,144,265,275,326,685,593,401,491,666
Ddx39,Ddx39,protein_coding,1570,1346,1685,1794,3519,2236,2157,2126,2479
Acad12,Acad12,protein_coding,168,160,223,311,89,133,122,140,140
Taf4b,Taf4b,protein_coding,217,154,192,252,490,326,266,306,265
Col16a1,Col16a1,protein_coding,503,244,346,814,159,184,210,327,156
Tgm5,Tgm5,protein_coding,1,2,0,0,15,14,3,9,19
Muc3,Muc3,protein_coding,27252,26421,25063,36509,17381,15982,16387,21515,20116
Psmd2,Psmd2,protein_coding,4057,3505,4155,4746,6896,5369,4954,5040,5199
Dopey2,Dopey2,protein_coding,2436,2006,2402,3055,1694,1890,1914,2067,1495
Fut8,Fut8,protein_coding,2403,1781,2078,2985,3933,4128,2998,3110,3162
Vcp,Vcp,protein_coding,5869,4566,5754,6359,8814,7526,6760,7215,6958
Pqlc3,Pqlc3,protein_coding,420,369,424,484,774,701,542,508,662
Magohb,Magohb,protein_coding,234,185,264,273,404,325,346,376,382
Clca3b,Clca3b,protein_coding,15336,9129,12135,16284,24036,21572,16331,18202,19238
Bri3,Bri3,protein_coding,854,642,860,1172,830,503,580,631,547
Serpinb9,Serpinb9,protein_coding,36,52,38,85,130,144,105,146,123
Gm28437,Gm28437,unprocessed_pseudogene,1237,777,1410,1951,656,738,945,795,1008
Col7a1,Col7a1,protein_coding,156,87,159,144,25,55,89,75,45
Hoxa11os,Hoxa11os,processed_transcript,1120,708,756,1228,595,680,683,620,434
Nampt,Nampt,protein_coding,1372,1324,1734,1910,2928,2523,1897,2203,2784
Cyp2d12,Cyp2d12,protein_coding,2059,780,940,930,57,146,465,354,197
H2.Q4,H2-Q4,protein_coding,943,1572,1228,1969,3573,4568,2499,2543,3885
Vim,Vim,protein_coding,106,92,139,105,230,179,221,122,199
Sec23b,Sec23b,protein_coding,1610,1222,1588,1526,2601,2324,1893,1771,1968
Fam98b,Fam98b,protein_coding,685,554,634,818,1050,974,982,772,823
Vamp5,Vamp5,protein_coding,22,14,20,33,5,8,8,7,4
Hps5,Hps5,protein_coding,2230,1987,2528,2651,1402,1610,1993,1902,1587
Fgd1,Fgd1,protein_coding,133,77,108,160,71,62,71,92,51
Atp6v0e2,Atp6v0e2,protein_coding,433,305,286,430,250,253,245,234,157
Ethe1,Ethe1,protein_coding,8634,8631,10284,9302,5156,4543,6691,7043,4724
Ywhae,Ywhae,protein_coding,6429,5572,6803,8717,9375,7911,7732,8118,8080
Adck5,Adck5,protein_coding,2496,2316,3233,3490,1333,1500,2042,2569,1457
Sptbn2,Sptbn2,protein_coding,457,327,389,466,160,154,251,289,159
Fam234a,Fam234a,protein_coding,4744,4377,5368,6318,3525,3424,4028,4572,3132
Slpi,Slpi,protein_coding,62,75,40,167,516,383,169,214,480
Hif1a,Hif1a,protein_coding,2243,1942,1430,2588,6120,5278,2421,2498,3643
Nadsyn1,Nadsyn1,protein_coding,1246,947,1332,1273,750,824,968,988,744
Ganc,Ganc,protein_coding,348,339,468,433,213,259,302,283,242
Mfsd2a,Mfsd2a,protein_coding,135,139,280,142,1265,894,313,578,937
Ptprf,Ptprf,protein_coding,8053,6196,7778,10195,5990,5491,6079,7047,5125
AU020206,AU020206,lincRNA,326,266,374,360,808,632,540,529,800
Creb3l3,Creb3l3,protein_coding,48,83,201,72,16,44,31,25,37
Gm30414,Gm30414,lincRNA,11,3,12,11,38,35,23,15,30
Trim40,Trim40,protein_coding,983,987,1577,1115,3172,2725,1757,1849,3461
Mycn,Mycn,protein_coding,66,37,60,76,15,14,20,42,13
Pfkfb3,Pfkfb3,protein_coding,61,30,55,106,465,309,77,185,433
Gnb5,Gnb5,protein_coding,201,214,330,240,134,155,151,157,133
Eif3a,Eif3a,protein_coding,6787,5086,7158,8722,9184,8237,7603,8259,7380
Vegfa,Vegfa,protein_coding,3153,2515,3744,4283,2743,1941,1912,2982,2426
Slc27a4,Slc27a4,protein_coding,1724,1705,2293,2073,1204,1141,1504,1513,958
Gstt1,Gstt1,protein_coding,373,447,480,611,183,152,239,396,174
Hk2,Hk2,protein_coding,6846,5433,6060,10316,18786,14637,7114,10442,13597
Psmd1,Psmd1,protein_coding,2076,1622,1963,2115,3452,2709,2659,2377,2780
Wfdc18,Wfdc18,protein_coding,131,34,94,155,354,322,192,197,393
Tmed7,Tmed7,protein_coding,2983,2538,2988,3645,4472,3894,3755,3437,3487
Fzd3,Fzd3,protein_coding,158,125,244,195,349,257,363,302,307
Zfp775,Zfp775,protein_coding,282,153,175,251,136,127,124,155,99
Psmc1,Psmc1,protein_coding,1898,1712,1996,2212,3134,2387,2384,2418,2696
Pm20d1,Pm20d1,protein_coding,510,356,414,469,101,131,289,253,154
Eif4a1,Eif4a1,protein_coding,10251,7613,10364,11623,15138,12199,11438,12669,12214
Ccdc85b,Ccdc85b,protein_coding,408,339,450,554,308,220,232,387,243
Fdx1,Fdx1,protein_coding,727,589,799,1012,675,504,637,651,571
Tpm3.rs7,Tpm3-rs7,protein_coding,865,706,852,1032,1514,1204,1087,1101,1113
Tbc1d9,Tbc1d9,protein_coding,121,132,181,166,349,467,212,255,335
Cracr2a,Cracr2a,protein_coding,1512,881,1242,1518,720,876,993,917,825
Gm30613,Gm30613,antisense,17,13,23,12,0,2,7,5,0
Ppip5k1,Ppip5k1,protein_coding,2789,2194,2926,3346,2339,2160,2486,2415,1945
Nsun2,Nsun2,protein_coding,1848,1364,1920,2163,3189,2325,2254,2283,2520
Gsdmc3,Gsdmc3,protein_coding,1652,1521,1666,3832,747,1141,794,1501,1096
Pde4c,Pde4c,protein_coding,50,32,61,37,18,9,24,21,22
Ltv1,Ltv1,protein_coding,689,463,626,700,988,775,787,767,772
Tnfrsf1a,Tnfrsf1a,protein_coding,1265,1293,1471,1698,2942,2510,1446,2217,2566
H2.Q10,H2-Q10,protein_coding,164,303,273,253,560,540,550,424,514
Fbxo36,Fbxo36,protein_coding,94,76,112,105,37,44,49,76,44
X1700019D03Rik,1700019D03Rik,protein_coding,261,184,264,362,437,387,407,346,379
Il17re,Il17re,protein_coding,546,409,606,739,399,372,424,413,343
St6galnac2,St6galnac2,protein_coding,1098,818,1280,1437,688,772,897,993,678
Msantd2,Msantd2,protein_coding,309,226,344,377,237,187,260,255,207
Ido1,Ido1,protein_coding,35,133,54,52,3075,2188,286,290,2075
Fam84b,Fam84b,protein_coding,1089,787,1061,1153,1558,1298,1156,1283,1304
Rap2a,Rap2a,protein_coding,1555,898,1235,1572,608,677,907,906,480
Tgm3,Tgm3,protein_coding,12577,11713,2663,5781,1038,1855,2073,1938,656
Ces2c,Ces2c,protein_coding,1791,2837,2888,2269,918,1048,1739,1460,1304
X4930539E08Rik,4930539E08Rik,protein_coding,2687,2994,3258,2783,1061,1577,1766,1932,1582
Timp3,Timp3,protein_coding,602,156,211,655,91,81,103,151,77
Ssr2,Ssr2,protein_coding,2416,1837,2817,2859,4022,3256,3026,3356,3586
Pxdn,Pxdn,protein_coding,146,48,97,55,200,320,227,253,184
Ppp1r13l,Ppp1r13l,protein_coding,356,284,364,499,328,230,231,324,240
Dnmbp,Dnmbp,protein_coding,4589,4136,5197,6083,3059,3459,3849,4179,2801
Lama5,Lama5,protein_coding,484,289,807,509,170,293,165,253,240
Actr2,Actr2,protein_coding,4451,3705,4512,4977,6520,5792,5286,4976,5660
Hoxa5,Hoxa5,protein_coding,382,349,353,497,293,302,275,349,271
Met,Met,protein_coding,1011,814,1026,1341,1780,2012,1190,1283,1609
Kctd17,Kctd17,protein_coding,823,817,1143,1015,580,653,724,739,431
Ralgds,Ralgds,protein_coding,2965,2381,3173,3267,2377,2070,2267,2490,1839
Klc1,Klc1,protein_coding,2045,1479,1937,2126,1383,1301,1395,1630,1043
Gosr2,Gosr2,protein_coding,1124,868,1232,1337,1816,1469,1262,1404,1433
Uggt1,Uggt1,protein_coding,2930,2349,3110,3718,4702,4539,3808,3603,3979
Evpl,Evpl,protein_coding,2458,1990,2047,2097,1277,1640,1486,1578,1181
Trim10,Trim10,protein_coding,5,1,5,12,67,38,3,19,73
Tob1,Tob1,protein_coding,10919,7007,8173,13328,6475,5372,7269,7380,5309
Lman1,Lman1,protein_coding,1391,1198,1431,1698,2511,2092,1959,1647,1918
Abat,Abat,protein_coding,4554,4621,2933,5770,1878,2306,2825,3066,1870
Cyp2f2,Cyp2f2,protein_coding,292,129,47,327,9,20,35,41,15
Bok,Bok,protein_coding,688,564,781,853,593,533,549,533,422
Gm3788,Gm3788,processed_pseudogene,75,81,100,90,172,137,131,115,178
Tenm4,Tenm4,protein_coding,426,230,442,500,142,106,266,250,103
Slc7a11,Slc7a11,protein_coding,38,22,38,40,142,112,53,45,114
Fa2h,Fa2h,protein_coding,2203,2742,2676,2083,1221,1204,1836,1438,1134
Hnrnpd,Hnrnpd,protein_coding,3330,2511,3586,4035,4479,3821,4067,3741,3854
Gpr17,Gpr17,protein_coding,50,55,100,92,10,27,28,51,11
Slc8b1,Slc8b1,protein_coding,1512,1223,1027,2182,764,775,843,1106,610
Myo3a,Myo3a,protein_coding,163,117,241,209,47,79,126,94,52
Pcx,Pcx,protein_coding,2251,2004,1346,2951,1452,988,1370,1555,1009
Rbm3,Rbm3,protein_coding,2401,1977,2937,2534,4231,3155,3344,3503,4245
Mettl7a2,Mettl7a2,protein_coding,45,71,12,40,3,6,4,11,2
Usp28,Usp28,protein_coding,533,587,682,886,434,390,566,503,371
Svil,Svil,protein_coding,184,132,215,213,325,251,222,254,260
Kyat1,Kyat1,protein_coding,598,528,567,711,332,379,360,511,359
X4931406C07Rik,4931406C07Rik,protein_coding,2805,3556,5226,4372,1540,1472,2902,2893,1383
Fpgt,Fpgt,protein_coding,1015,699,1060,1148,757,653,709,685,551
Cyp4f13,Cyp4f13,protein_coding,997,952,1101,1397,371,572,792,815,601
Bbs2,Bbs2,protein_coding,203,144,212,248,111,130,157,161,114
Fkbp9,Fkbp9,protein_coding,1167,636,791,1417,707,523,653,585,506
Pdzk1ip1,Pdzk1ip1,protein_coding,1098,955,853,1337,530,568,640,962,632
Bambi,Bambi,protein_coding,138,86,108,189,77,52,65,84,73
Gm37960,Gm37960,TEC,0,0,0,0,7,9,5,2,4
H6pd,H6pd,protein_coding,473,473,699,774,1391,1232,889,809,1288
Apba2,Apba2,protein_coding,0,0,3,0,150,131,38,20,81
Foxo3,Foxo3,protein_coding,1999,1994,2132,2597,1177,1536,1579,1623,1188
X2010001A14Rik,2010001A14Rik,processed_transcript,145,83,107,132,49,61,59,87,56
Prlr,Prlr,protein_coding,293,257,384,473,156,115,232,208,222
Tmem25,Tmem25,protein_coding,136,165,140,202,53,90,88,127,70
Pttg1ip,Pttg1ip,protein_coding,3834,3417,3521,5047,2634,2763,2944,3288,2485
Tapbpl,Tapbpl,protein_coding,649,811,684,1155,2496,1802,1253,1313,1728
Tjp2,Tjp2,protein_coding,3579,2870,3686,4381,4805,4394,4076,4105,3808
Rhoj,Rhoj,protein_coding,3,9,9,15,67,37,34,58,114
Tmem143,Tmem143,protein_coding,327,360,407,562,305,308,298,320,250
Cdhr2,Cdhr2,protein_coding,9289,10967,12740,12215,5054,6356,7843,7931,7492
Rab20,Rab20,protein_coding,257,255,250,404,180,193,229,214,180
Dcun1d4,Dcun1d4,protein_coding,296,306,304,375,446,594,459,432,461
Npc1,Npc1,protein_coding,783,790,1047,1109,650,697,673,716,609
Efemp2,Efemp2,protein_coding,23,15,33,44,83,60,33,58,60
Reep6,Reep6,protein_coding,721,580,714,734,387,366,484,534,240
Cald1,Cald1,protein_coding,7,10,14,21,64,51,28,40,48
Ripk2,Ripk2,protein_coding,422,324,555,493,1087,732,607,688,637
Slc20a1,Slc20a1,protein_coding,9786,7346,4270,5992,2456,2589,2820,2882,1990
Opa3,Opa3,protein_coding,1501,1098,1411,1852,1965,1676,1678,1704,1546
Lap3,Lap3,protein_coding,1504,1928,1722,2836,5448,5032,2664,3843,4136
Acaa1a,Acaa1a,protein_coding,3224,2825,3610,4585,2343,2127,3001,3076,2251
Prkcz,Prkcz,protein_coding,1665,1222,1586,1969,1049,1165,1248,1386,1111
Tsc22d3,Tsc22d3,protein_coding,1935,1553,1547,1818,947,804,1363,1073,609
Lzts2,Lzts2,protein_coding,2775,1884,2728,3398,1931,1878,2112,2504,1653
Tomm70a,Tomm70a,protein_coding,2156,1661,2219,2522,3039,2402,2439,2473,2338
Pmm2,Pmm2,protein_coding,4091,3164,3808,4341,5900,5104,4715,4453,5005
Syt8,Syt8,protein_coding,42,29,18,46,164,140,66,59,112
Fgf1,Fgf1,protein_coding,867,645,717,1324,403,448,571,708,429
Basp1,Basp1,protein_coding,1,0,2,4,3,14,7,10,55
Efna1,Efna1,protein_coding,2922,1769,1995,2504,1305,1042,1365,1682,1649
Eprs,Eprs,protein_coding,2851,2025,2833,3750,4096,3515,3608,3391,3337
Rassf9,Rassf9,protein_coding,118,61,80,140,19,25,49,56,15
Aldob,Aldob,protein_coding,3236,3023,3508,4203,1219,1281,2605,2377,993
Stk32c,Stk32c,protein_coding,0,6,3,0,19,18,8,11,38
Rab32,Rab32,protein_coding,378,278,280,444,701,651,398,449,547
Il15,Il15,protein_coding,302,269,512,385,181,153,281,209,182
Tmem132e,Tmem132e,protein_coding,0,0,0,0,9,5,2,1,18
mt.Rnr2,mt-Rnr2,Mt_rRNA,98832,59295,106883,80344,17386,21830,43618,44730,52732
Ston1,Ston1,protein_coding,166,159,163,282,41,36,98,135,58
Slc8a1,Slc8a1,protein_coding,302,331,392,427,112,183,268,235,175
Ddx21,Ddx21,protein_coding,2757,1815,2739,3151,4309,3410,2943,3564,3081
Tmem259,Tmem259,protein_coding,3467,2707,3691,4347,2900,2582,2874,3441,2569
Gm31557,Gm31557,lincRNA,0,1,0,0,2,16,2,4,19
Gm39132,Gm39132,lincRNA,17,20,22,6,2,0,0,2,5
Gsdmc2,Gsdmc2,protein_coding,3762,3446,5132,6646,2206,2874,2386,3699,3377
Rbp2,Rbp2,protein_coding,332,292,432,324,36,44,91,150,148
H2.M3,H2-M3,protein_coding,126,112,75,146,260,301,184,176,188
Klf2,Klf2,protein_coding,3857,1938,1621,3704,1581,1146,1418,1699,838
H2afv,H2afv,protein_coding,1130,919,1009,1277,714,654,874,967,748
Chd3,Chd3,protein_coding,2203,2044,3052,3431,1660,1977,1907,2262,1569
X1110008P14Rik,1110008P14Rik,protein_coding,224,186,241,276,414,246,315,368,299
Nek5,Nek5,protein_coding,33,14,28,43,5,7,8,13,6
Slco2a1,Slco2a1,protein_coding,869,1046,1261,866,472,352,677,626,698
Plet1,Plet1,protein_coding,989,689,2574,1448,10246,8511,6189,7927,11428
Prpf40a,Prpf40a,protein_coding,2308,1719,2320,2662,3190,2864,2684,2449,2591
Gm10561,Gm10561,antisense,34,21,43,55,6,2,8,17,10
Utp14a,Utp14a,protein_coding,452,314,442,529,678,550,521,605,483
Retreg2,Retreg2,protein_coding,1590,1337,1692,2088,1379,1237,1445,1434,1234
Cdc14a,Cdc14a,protein_coding,875,867,973,1341,583,653,790,779,539
Tlr4,Tlr4,protein_coding,312,347,390,476,846,685,548,497,667
Nckap1,Nckap1,protein_coding,4066,3408,3964,4997,5722,5350,4837,4478,4761
Psma2,Psma2,protein_coding,1724,1545,1807,2141,2866,2300,2197,2346,2543
Sgk1,Sgk1,protein_coding,3094,3174,4510,3562,524,530,1417,1960,674
Sox21,Sox21,protein_coding,498,268,508,590,168,146,226,393,184
Appl2,Appl2,protein_coding,5144,3767,4669,5343,2899,3673,3675,3726,2925
Cidec,Cidec,protein_coding,74,134,277,178,77,70,67,71,69
Galm,Galm,protein_coding,1117,888,989,1497,722,662,879,960,622
Naglu,Naglu,protein_coding,649,520,600,815,454,442,517,548,389
Phgr1,Phgr1,protein_coding,7037,8043,11272,8612,2437,3092,5383,6360,4187
Pcgf2,Pcgf2,protein_coding,708,561,837,785,487,429,535,611,476
Glo1,Glo1,protein_coding,1460,1369,1518,1877,2173,1945,1841,1817,1824
Dnase2a,Dnase2a,protein_coding,241,188,260,318,166,162,215,198,140
Rdm1,Rdm1,protein_coding,287,274,463,432,148,183,232,291,175
Spcs2,Spcs2,protein_coding,1628,1379,1910,2031,3075,2608,2019,2387,2692
D6Ertd527e,D6Ertd527e,protein_coding,70,37,33,58,16,19,23,28,23
Shpk,Shpk,protein_coding,381,325,329,468,239,272,302,278,215
Psmb7,Psmb7,protein_coding,1033,921,1000,1190,1704,1422,1317,1365,1446
Slc35a4,Slc35a4,protein_coding,1870,1399,1758,2067,2851,2306,2130,2080,2052
Pes1,Pes1,protein_coding,1068,727,1168,1231,1645,1335,1210,1362,1296
Azin2,Azin2,protein_coding,41,42,131,37,21,18,23,26,28
Slc27a1,Slc27a1,protein_coding,1050,748,1244,1628,567,666,787,974,631
S100a9,S100a9,protein_coding,1,0,3,2,68,8,4,15,556
Pnliprp2,Pnliprp2,protein_coding,25,23,24,35,9,6,10,8,8
Stt3a,Stt3a,protein_coding,3606,3003,3849,4286,5674,5092,4434,4363,4836
Abtb2,Abtb2,protein_coding,155,35,103,110,22,38,33,41,25
Mgst3,Mgst3,protein_coding,5648,6465,7840,6688,4078,3841,4909,5575,4236
Egln3,Egln3,protein_coding,670,521,475,741,1738,1324,617,748,1427
Rps2.ps13,Rps2-ps13,processed_pseudogene,819,672,890,1057,1316,1004,926,1143,1154
Mgam,Mgam,protein_coding,6178,5760,6685,9830,9905,8818,8930,8476,8811
Cyp2c68,Cyp2c68,protein_coding,984,631,440,1143,139,307,147,381,124
Fbxo25,Fbxo25,protein_coding,1333,1593,1712,1839,787,945,1277,1160,906
Arl1,Arl1,protein_coding,4645,4281,4996,5181,7369,6738,6122,5947,7146
Klhdc10,Klhdc10,protein_coding,1127,945,1081,1385,1485,1304,1377,1290,1265
Lipk,Lipk,protein_coding,1,5,0,2,21,23,7,6,17
Trmt10a,Trmt10a,protein_coding,107,64,120,146,236,160,158,174,181
Sh3glb1,Sh3glb1,protein_coding,2086,1777,2123,2648,3128,2846,2587,2528,2831
Gbp9,Gbp9,protein_coding,12,24,31,22,113,192,47,48,138
Duoxa2,Duoxa2,protein_coding,1157,650,1777,1493,5064,4584,2339,3463,5162
Wdfy1,Wdfy1,protein_coding,405,414,552,527,269,317,324,371,281
Ufm1,Ufm1,protein_coding,1206,1035,1273,1513,2046,1634,1440,1484,1717
Hunk,Hunk,protein_coding,914,621,839,1168,395,451,576,697,312
Iars,Iars,protein_coding,1749,1153,1590,1804,2490,2004,2113,1933,1864
Mep1a,Mep1a,protein_coding,3185,3861,4676,4073,581,1134,2009,1937,1552
Sf3b3,Sf3b3,protein_coding,3187,2278,3244,3730,4381,3685,3632,3619,3435
Ldhb,Ldhb,protein_coding,167,93,190,123,36,49,107,56,51
Ighg2b,Ighg2b,IG_C_gene,0,0,0,0,1,2,16,2,30
S100a13,S100a13,protein_coding,695,733,1060,895,532,440,599,752,546
Trpm6,Trpm6,protein_coding,3057,2444,1405,1666,620,683,1018,858,468
Selenbp2,Selenbp2,protein_coding,161,260,224,158,61,113,127,95,59
Smpx,Smpx,protein_coding,85,37,76,138,15,7,32,51,25
Ifi44,Ifi44,protein_coding,7,24,9,46,79,200,27,58,123
Bak1,Bak1,protein_coding,1465,1569,1937,2171,3798,2805,2360,2400,2653
Cap2,Cap2,protein_coding,70,40,54,97,156,247,166,146,169
Rnf150,Rnf150,protein_coding,151,126,272,149,307,313,249,268,308
E230014E18Rik,E230014E18Rik,lincRNA,5,4,17,13,70,41,28,18,53
Zc3h3,Zc3h3,protein_coding,635,499,552,688,471,436,353,442,431
Tmem229b,Tmem229b,protein_coding,34,46,31,56,214,224,95,86,119
Celsr1,Celsr1,protein_coding,1869,1254,1743,2803,3798,3717,2393,2896,2729
Alkbh3,Alkbh3,protein_coding,229,207,250,298,363,385,304,305,358
Pcsk6,Pcsk6,protein_coding,30,14,29,37,105,97,80,44,104
Bche,Bche,protein_coding,535,477,660,768,260,260,485,411,314
Bst2,Bst2,protein_coding,158,286,201,429,795,842,372,503,592
Adam15,Adam15,protein_coding,1499,1349,1370,1928,1219,1060,1050,1369,881
Rims4,Rims4,protein_coding,368,178,186,685,120,137,106,206,168
Ptgfrn,Ptgfrn,protein_coding,3306,2593,3130,3699,4546,3822,4420,3549,3507
Pdk1,Pdk1,protein_coding,1108,890,954,1429,1746,1599,1430,1242,1505
Blvrb,Blvrb,protein_coding,780,682,701,898,485,521,588,503,363
Epb41l1,Epb41l1,protein_coding,1604,1407,1390,1846,854,979,1160,1243,671
Ccnl2,Ccnl2,protein_coding,5286,4109,5912,6389,3912,4054,4075,4878,4382
Hagh,Hagh,protein_coding,749,769,712,1042,555,502,632,704,540
Unc5cl,Unc5cl,protein_coding,269,244,283,362,453,496,388,357,539
March4,March4,protein_coding,3,1,0,2,14,17,9,6,6
Copa,Copa,protein_coding,6756,5483,6371,7794,8786,8062,7355,7665,7443
Serpina10,Serpina10,protein_coding,6,3,18,9,120,294,24,65,158
Rars,Rars,protein_coding,1557,1298,2020,1784,2561,2331,1996,2146,2287
Dpep1,Dpep1,protein_coding,4180,5611,6020,4840,1167,1484,3007,3021,1843
Hsp90b1,Hsp90b1,protein_coding,10533,8295,10303,12704,16761,16697,12460,12693,13645
Acta2,Acta2,protein_coding,4,5,3,9,33,83,14,13,26
Armc10,Armc10,protein_coding,792,592,704,1056,1073,958,1014,1001,978
Meis3,Meis3,protein_coding,356,228,302,338,132,141,177,261,193
Filip1l,Filip1l,protein_coding,1098,807,1278,1021,410,410,727,750,339
Pla2g5,Pla2g5,protein_coding,572,396,446,1106,1628,1215,861,1402,1474
X2610002M06Rik,2610002M06Rik,protein_coding,530,472,484,708,833,826,695,703,753
Gsr,Gsr,protein_coding,3293,2872,3292,3775,6146,4339,4411,3936,5102
Amt,Amt,protein_coding,254,210,451,304,122,94,199,192,99
Gpt,Gpt,protein_coding,872,1273,1454,1311,349,493,845,955,494
Cast,Cast,protein_coding,2463,2184,2779,2997,3223,3352,3670,3255,3162
Dhrs9,Dhrs9,protein_coding,194,255,301,126,1129,878,296,441,932
