gene_id gene_name gene_biotype P14E1Vil_1_1_count P14E1Vil_1_3_count P14E2Vil_1_1_count P14E2Vil_1_2_count P14E2Vil_1_3_count P14E1Vil_2_4_count P14E2Vil_2_5_count P13E2Cad_2_3_count P13E2Cad_2_4_count P13E2Cad_1_1_count P13E2Cad_1_3_count P13E2Cad_1_4_count P13E2Cad_1_5_count P13E1Col_1_3_count P13E1Col_1_4_count P13E1Col_1_5_count P13E1Col_1_6_count P13E1Col_1_7_count a10 a19 a20 a9
Icam2 ENSMUSG00000001029 Icam2 protein_coding 116 88 111 106 101 150 106 131 51 73 79 99 34 121 137 102 151 158 22 41 50 41
Mapk7 ENSMUSG00000001034 Mapk7 protein_coding 569 495 743 571 639 230 621 585 558 506 461 569 463 543 439 678 289 446 264 186 221 250
Epn2 ENSMUSG00000001036 Epn2 protein_coding 896 957 1034 826 1138 331 724 645 565 569 548 664 573 882 806 911 342 655 383 380 485 419
B9d1 ENSMUSG00000001039 B9d1 protein_coding 128 129 94 105 158 334 149 101 72 70 82 70 73 140 136 89 268 236 46 49 68 51
Sec24b ENSMUSG00000001052 Sec24b protein_coding 1333 1372 1897 1295 1673 563 1522 1585 1563 1290 1375 1505 1443 1456 1213 1819 537 987 596 671 881 613
N4bp3 ENSMUSG00000001053 N4bp3 protein_coding 240 309 320 276 281 321 417 238 204 208 184 241 154 366 332 470 266 365 116 91 135 90
Rmnd5b ENSMUSG00000001054 Rmnd5b protein_coding 595 698 883 601 701 470 818 575 426 460 493 487 541 672 695 663 539 780 223 270 273 184
Nhp2 ENSMUSG00000001056 Nhp2 protein_coding 923 1066 918 1049 1041 3797 2188 1078 1374 1207 1303 1468 965 1463 1814 1698 3850 2671 286 349 466 290
Vps9d1 ENSMUSG00000001062 Vps9d1 protein_coding 577 587 852 610 653 317 610 706 624 555 661 726 555 603 470 611 334 509 329 263 297 249
Zfp276 ENSMUSG00000001065 Zfp276 protein_coding 529 391 635 482 604 231 466 716 556 469 548 570 383 477 436 504 201 396 400 276 369 303
C1ql4 ENSMUSG00000001076 C1ql4 protein_coding 0 1 1 1 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 3 0 0
Mfsd10 ENSMUSG00000001082 Mfsd10 protein_coding 639 633 765 649 661 450 935 591 629 567 623 618 515 731 688 773 598 748 231 219 236 215
Luzp1 ENSMUSG00000001089 Luzp1 protein_coding 3923 4535 5566 4065 5380 1110 3687 4158 3673 3397 3576 4077 3447 4397 3186 3859 1165 2309 1940 1642 1917 1731
Slc13a2 ENSMUSG00000001095 Slc13a2 protein_coding 3080 2948 2174 4392 5005 1888 4482 5679 4456 5046 4273 6410 6270 4929 3138 3105 2056 3397 1662 1783 1629 1132
Kctd10 ENSMUSG00000001098 Kctd10 protein_coding 2176 2397 2667 2010 2532 834 2815 1853 1914 1566 1735 2023 1704 2713 1967 2737 1037 2087 1863 1667 2059 1532
Poldip2 ENSMUSG00000001100 Poldip2 protein_coding 1368 1350 1696 1298 1466 1502 1478 898 794 904 816 907 792 1597 1495 1392 1969 1893 510 596 602 493
Sebox ENSMUSG00000001103 Sebox protein_coding 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 1 0 0 0 0 2
Ift20 ENSMUSG00000001105 Ift20 protein_coding 1020 1126 999 1035 1101 2367 1349 1091 1064 1026 1060 1150 812 1288 1419 1187 2004 1934 428 441 478 351
Col6a1 ENSMUSG00000001119 Col6a1 protein_coding 5665 4556 7954 4460 6262 604 3320 2381 1411 2221 1570 1921 2407 5300 3412 4766 1217 1741 1980 2227 2909 1774
Pcbp3 ENSMUSG00000001120 Pcbp3 protein_coding 183 135 132 96 156 37 81 74 48 83 63 87 50 110 97 91 67 76 62 80 100 69
Lgals9 ENSMUSG00000001123 Lgals9 protein_coding 3043 3854 1896 4879 5197 6852 9153 5986 8562 6385 6960 8698 5075 8741 8583 9089 9622 11080 1588 1207 1519 2890
Araf ENSMUSG00000001127 Araf protein_coding 2359 2407 2776 2272 2617 1690 2334 2856 2460 2338 2453 2653 2276 2138 2168 2165 1682 1933 1040 973 1034 822
Cfp ENSMUSG00000001128 Cfp protein_coding 612 265 491 522 492 714 574 592 340 366 337 544 275 436 693 1046 584 721 113 103 118 138
Timp1 ENSMUSG00000001131 Timp1 protein_coding 611 71 180 458 320 636 423 100 92 79 73 120 91 213 222 299 386 283 18 24 24 17
Uxt ENSMUSG00000001134 Uxt protein_coding 296 269 212 238 306 802 333 331 323 298 274 340 263 264 345 258 723 624 130 111 156 117
Cnnm3 ENSMUSG00000001138 Cnnm3 protein_coding 673 690 953 607 714 231 530 536 358 401 418 384 347 603 503 548 256 372 236 286 325 211
Lman2l ENSMUSG00000001143 Lman2l protein_coding 694 698 770 616 779 518 633 688 629 693 568 663 636 618 623 583 394 413 271 255 334 213
Mcm3ap ENSMUSG00000001150 Mcm3ap protein_coding 950 1121 1369 1005 1147 274 971 1269 980 859 919 1028 831 902 718 1102 322 677 380 415 579 445
Pcnt ENSMUSG00000001151 Pcnt protein_coding 968 1448 1490 1078 1229 149 1061 1105 919 719 1005 989 820 972 626 1122 214 411 466 494 587 467
Ftcd ENSMUSG00000001155 Ftcd protein_coding 1 1 3 8 0 0 3 0 0 1 1 0 5 1 0 0 0 0 1 2 0 0
Mxd1 ENSMUSG00000001156 Mxd1 protein_coding 9930 13612 18813 13349 16471 10124 21087 19319 25810 23221 20752 26671 24133 20653 14925 17311 12266 17035 5330 4269 4749 4903
Gmcl1 ENSMUSG00000001157 Gmcl1 protein_coding 1039 1287 1347 1079 1523 938 1174 1078 861 850 971 923 778 1313 1038 1148 947 1312 387 447 459 488
Snrnp27 ENSMUSG00000001158 Snrnp27 protein_coding 573 678 613 556 736 1455 775 785 828 814 814 880 766 795 824 736 1431 980 242 318 274 200
Oas1c ENSMUSG00000001166 Oas1c protein_coding 50 105 71 89 88 99 107 115 93 91 106 143 93 132 116 75 54 99 39 51 56 43
Oas1h ENSMUSG00000001168 Oas1h protein_coding 8 26 18 18 39 2 15 33 56 34 44 76 29 18 1 6 3 9 16 5 10 22
Ocrl ENSMUSG00000001173 Ocrl protein_coding 684 820 900 673 879 210 496 660 449 544 530 618 452 594 462 489 247 440 322 329 394 324
Calm1 ENSMUSG00000001175 Calm1 protein_coding 24213 30529 27667 28310 34369 53680 41231 33786 37146 30849 35451 41547 29468 41236 40523 36562 53848 60172 10918 10979 13466 10961
Agpat3 ENSMUSG00000001211 Agpat3 protein_coding 2122 2397 2529 1887 2248 988 1809 1089 867 931 860 1062 955 2003 2206 2015 1461 1599 709 681 781 755
Slc26a3 ENSMUSG00000001225 Slc26a3 protein_coding 8923 10594 24602 9883 27735 4256 8988 16194 7520 12764 11454 15824 11440 11355 5500 6241 3603 9289 6373 5844 7688 9368
Sema6b ENSMUSG00000001227 Sema6b protein_coding 218 163 188 287 220 227 700 245 370 227 276 404 270 342 259 459 244 419 60 65 87 61
Uhrf1 ENSMUSG00000001228 Uhrf1 protein_coding 819 1570 1829 1402 1258 770 1636 997 1082 920 1155 1082 852 1136 1507 1773 766 1076 326 386 692 302
Dpp9 ENSMUSG00000001229 Dpp9 protein_coding 1372 1536 1687 1665 1912 542 2482 1712 2112 1462 1726 2050 1615 1971 1679 2660 909 1588 572 577 777 601
Ramp2 ENSMUSG00000001240 Ramp2 protein_coding 243 264 256 226 250 236 274 163 96 140 90 108 118 329 309 294 237 321 123 114 107 87
Lsr ENSMUSG00000001247 Lsr protein_coding 1116 1858 2753 1565 1305 708 1382 927 731 836 772 864 788 1869 1496 1585 1199 1699 1366 1278 1813 892
Gramd1a ENSMUSG00000001248 Gramd1a protein_coding 742 604 794 686 797 444 605 1091 687 646 866 897 610 789 555 809 330 522 330 266 227 227
Hpn ENSMUSG00000001249 Hpn protein_coding 169 227 556 194 240 125 132 88 41 70 50 44 31 237 170 91 137 77 75 66 121 34
Gabrg1 ENSMUSG00000001260 Gabrg1 protein_coding 0 0 1 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 1 0 1 1
Ckb ENSMUSG00000001270 Ckb protein_coding 4370 4555 5024 3167 5056 2693 2326 2794 2570 3303 2318 2159 2829 5219 3843 4505 2994 3407 2302 1925 2190 2237
Sp1 ENSMUSG00000001280 Sp1 protein_coding 2587 3615 4105 2903 3730 812 3065 3425 2738 2259 2858 3300 2437 2934 2577 3229 1087 1910 1244 1377 1605 1076
Itgb7 ENSMUSG00000001281 Itgb7 protein_coding 226 302 278 466 336 492 681 813 380 437 493 564 331 770 612 1144 504 639 60 44 79 80
Myg1 ENSMUSG00000001285 Myg1 protein_coding 620 691 823 641 690 1081 840 624 660 536 578 667 575 682 711 733 888 866 165 173 221 140
Rarg ENSMUSG00000001288 Rarg protein_coding 939 590 682 696 853 294 541 441 411 390 314 359 369 699 494 656 344 297 334 269 325 296
Pfdn5 ENSMUSG00000001289 Pfdn5 protein_coding 1855 2252 2311 1754 2049 6161 2529 2296 2543 2563 2089 2644 1861 2523 2828 2118 4976 3726 635 778 811 553
Efnb2 ENSMUSG00000001300 Efnb2 protein_coding 2930 3643 3818 3336 5250 1123 3947 3899 4044 3451 3600 4337 3701 4618 3416 3491 1347 2671 1526 1184 1367 1516
Rrp15 ENSMUSG00000001305 Rrp15 protein_coding 329 305 354 322 315 653 486 250 346 282 302 310 217 359 508 405 768 643 60 124 129 97
Rnd2 ENSMUSG00000001313 Rnd2 protein_coding 255 198 182 155 242 161 73 56 67 112 44 89 77 125 148 88 168 119 437 398 519 519
Srr ENSMUSG00000001323 Srr protein_coding 519 595 642 498 771 235 361 525 437 398 366 512 445 450 408 446 215 391 759 732 797 736
Sync ENSMUSG00000001333 Sync protein_coding 91 77 103 63 109 11 47 43 18 29 17 29 23 75 51 66 12 53 77 72 75 60
Fndc5 ENSMUSG00000001334 Fndc5 protein_coding 253 134 227 109 87 24 28 26 33 24 41 30 34 49 42 62 18 30 125 140 187 41
Acp5 ENSMUSG00000001348 Acp5 protein_coding 4104 5123 5670 4282 3955 4144 4377 3601 2736 3457 2731 3191 3123 4488 4109 3699 3971 4485 1869 2206 2460 1160
Cnn1 ENSMUSG00000001349 Cnn1 protein_coding 10544 10252 14702 7957 13156 4553 3930 8741 7074 8009 5871 6918 5816 16575 7402 9512 4906 8221 6120 6101 7205 5601
Fbxo9 ENSMUSG00000001366 Fbxo9 protein_coding 1337 1471 1492 1084 1266 1289 1560 1131 1295 983 1084 1211 1060 1341 1331 1270 1093 1773 557 507 668 430
Vps50 ENSMUSG00000001376 Vps50 protein_coding 782 988 906 874 946 873 1026 927 785 778 731 856 677 893 783 1019 711 1063 344 324 397 314
Hars ENSMUSG00000001380 Hars protein_coding 978 1302 1250 1168 1224 1464 1899 1243 1520 1276 1352 1675 1085 1376 1512 1749 1617 1759 368 416 506 390
Zmat2 ENSMUSG00000001383 Zmat2 protein_coding 1288 1641 1434 1496 1640 2577 1817 1874 2202 2172 1968 2379 1843 1753 1756 1516 2285 1743 620 714 567 541
Ube2c ENSMUSG00000001403 Ube2c protein_coding 1210 1628 951 1641 1658 3662 2980 1402 2422 1899 2250 2306 1406 2144 2714 2097 4258 3053 553 568 790 555
Smg5 ENSMUSG00000001415 Smg5 protein_coding 2149 2420 2599 2258 2524 1336 2720 2400 2487 1920 2389 2656 1968 2371 2233 2596 1533 2109 971 832 1071 917
Cct3 ENSMUSG00000001416 Cct3 protein_coding 3509 4017 3628 3947 4450 6101 6516 3986 4264 3720 4111 4625 3061 4967 5288 5369 5343 6241 1212 1207 1669 1163
Glmp ENSMUSG00000001418 Glmp protein_coding 2166 2664 2789 2392 2634 2445 2980 2423 2298 2405 2086 2485 2179 3334 2671 2713 2564 2667 1079 1086 1371 927
Mef2d ENSMUSG00000001419 Mef2d protein_coding 2592 2904 4220 3063 3510 893 3077 3238 3243 2959 2729 3705 3344 3292 2176 2923 1059 1851 1569 1269 1429 1282
Tmem79 ENSMUSG00000001420 Tmem79 protein_coding 370 475 610 421 499 226 580 401 390 353 386 518 356 580 493 615 480 725 312 285 393 267
Snd1 ENSMUSG00000001424 Snd1 protein_coding 2588 3712 3218 3083 3172 2395 5898 3077 4170 2959 3296 3900 2902 4306 4227 5612 2207 3514 917 1030 1397 718
Col18a1 ENSMUSG00000001435 Col18a1 protein_coding 1612 1557 2027 1401 1980 664 2749 1275 1101 1161 854 1305 1199 2924 1794 4458 854 1440 543 608 825 502
Slc19a1 ENSMUSG00000001436 Slc19a1 protein_coding 342 441 533 418 426 358 489 257 242 269 278 263 209 407 471 540 468 443 130 171 181 181
Kpnb1 ENSMUSG00000001440 Kpnb1 protein_coding 5711 6599 7166 6511 6934 2774 8450 5390 6316 4648 5956 6399 4865 6896 6768 8880 3327 5773 2511 2594 3465 2394
Npepps ENSMUSG00000001441 Npepps protein_coding 2675 3289 3889 3345 4223 1778 4632 4323 5020 3923 4171 4748 4444 4076 3220 4081 1968 2937 1242 1256 1301 1130
Tbx21 ENSMUSG00000001444 Tbx21 protein_coding 15 30 15 18 20 53 67 57 41 28 47 58 43 49 49 104 46 77 10 5 9 2
Mrpl10 ENSMUSG00000001445 Mrpl10 protein_coding 1314 1568 1378 1300 1589 1373 1594 1054 995 1109 947 1147 900 1570 1650 1462 1579 1783 566 693 769 652
Cyp51 ENSMUSG00000001467 Cyp51 protein_coding 3391 5250 3280 4709 5396 5447 6810 6155 6810 5735 5543 7429 5813 5785 5902 5670 5162 6201 1031 1132 1814 993
Tcf25 ENSMUSG00000001472 Tcf25 protein_coding 5990 6268 7863 6064 6863 3909 7422 7550 7185 6565 6822 7805 6542 6377 5479 6514 4281 5985 2929 2342 2818 2262
Tubb6 ENSMUSG00000001473 Tubb6 protein_coding 1164 1090 1352 861 1190 594 799 625 471 512 445 481 533 1097 942 1112 790 998 417 464 509 424
Def8 ENSMUSG00000001482 Def8 protein_coding 698 717 645 537 711 335 543 360 264 351 352 364 381 518 604 527 372 473 265 246 284 232
Meox1 ENSMUSG00000001493 Meox1 protein_coding 130 129 117 94 124 138 115 62 59 49 62 61 51 186 128 146 187 136 40 53 52 22
Pax9 ENSMUSG00000001497 Pax9 protein_coding 5 2 4 5 4 0 3 0 0 3 2 2 4 1 3 2 0 7 0 3 2 0
Irx2 ENSMUSG00000001504 Irx2 protein_coding 0 0 0 4 0 9 2 1 1 4 2 0 0 0 5 0 0 0 0 0 0 0
Col1a1 ENSMUSG00000001506 Col1a1 protein_coding 7803 5495 12271 5338 6981 798 6822 3373 2198 2442 1969 2518 2604 10348 5148 13544 1378 2718 1988 2725 3507 2000
Itga3 ENSMUSG00000001507 Itga3 protein_coding 3172 3529 4280 3594 4354 1740 7002 5114 7747 5477 5151 7262 5726 5368 3365 6359 1953 3513 1407 1085 1431 1319
Sgca ENSMUSG00000001508 Sgca protein_coding 30 34 38 35 31 3 4 29 22 27 22 19 26 58 38 16 3 14 32 16 23 18
Dlx3 ENSMUSG00000001510 Dlx3 protein_coding 4 4 2 2 0 0 2 1 2 7 1 1 4 0 1 3 0 1 2 0 7 1
Foxm1 ENSMUSG00000001517 Foxm1 protein_coding 612 750 725 793 711 258 1074 550 684 463 649 706 405 816 848 1067 467 784 260 238 351 240
Itfg2 ENSMUSG00000001518 Itfg2 protein_coding 318 463 466 366 402 326 395 307 277 248 271 285 240 313 371 370 289 361 128 158 168 109
Nrip2 ENSMUSG00000001520 Nrip2 protein_coding 36 51 39 31 75 7 26 28 19 22 24 24 12 26 22 45 39 24 28 27 41 23
Tulp3 ENSMUSG00000001521 Tulp3 protein_coding 210 211 202 279 254 160 299 250 235 215 216 259 215 323 280 344 210 286 105 90 130 67
Gtf2h4 ENSMUSG00000001524 Gtf2h4 protein_coding 342 435 408 354 411 497 567 385 439 385 410 406 358 497 517 485 580 566 106 140 138 122
Tubb5 ENSMUSG00000001525 Tubb5 protein_coding 6202 7519 7733 7388 7263 7761 11367 5460 7216 5410 6499 7022 4826 9469 10412 11651 10367 11401 2426 2706 3706 2313
Ell2 ENSMUSG00000001542 Ell2 protein_coding 1359 1600 1322 1429 1584 980 1424 1724 1278 1186 1112 1373 1229 1691 1438 1394 870 1246 641 494 609 503
Jup ENSMUSG00000001552 Jup protein_coding 6042 6938 8993 6350 8073 3308 10116 7258 9459 8318 7140 9140 8005 10492 6632 10189 3764 5930 2763 2624 3847 2524
Fkbp10 ENSMUSG00000001555 Fkbp10 protein_coding 427 278 457 296 390 169 288 218 171 208 141 191 175 422 270 402 181 280 160 145 228 132
Klhl10 ENSMUSG00000001558 Klhl10 protein_coding 3 3 6 1 5 2 1 5 1 3 1 6 2 1 4 0 1 2 1 2 3 3
Mnx1 ENSMUSG00000001566 Mnx1 protein_coding 35 47 106 39 56 6 6 8 2 20 11 4 7 22 16 20 16 8 33 16 18 31
Nom1 ENSMUSG00000001569 Nom1 protein_coding 906 950 1123 877 1027 378 964 748 675 573 763 742 557 872 896 996 435 787 360 370 464 346
Ergic1 ENSMUSG00000001576 Ergic1 protein_coding 3627 3851 3430 2959 3125 1384 3151 1431 1400 1592 1249 1431 1600 3018 3262 2731 2247 2293 1416 1802 2317 1059
Tnk1 ENSMUSG00000001583 Tnk1 protein_coding 723 738 906 796 858 170 933 1050 1152 784 1053 1000 871 782 645 745 263 529 489 387 558 438
Acap1 ENSMUSG00000001588 Acap1 protein_coding 172 217 236 272 178 334 257 611 331 320 558 589 298 286 362 414 200 302 35 47 35 83
Tcea3 ENSMUSG00000001604 Tcea3 protein_coding 1430 1380 1036 1062 1193 790 942 648 473 574 540 493 571 1080 1115 777 729 831 629 598 739 363
Csn3 ENSMUSG00000001622 Csn3 protein_coding 2 3 9 4 4 6 0 0 1 2 2 3 1 0 2 2 2 2 0 0 3 0
Ifrd1 ENSMUSG00000001627 Ifrd1 protein_coding 849 1068 1196 879 1379 2519 1541 1181 1989 1418 1293 1851 1486 1391 1508 1434 2212 1891 477 484 543 509
Stk38l ENSMUSG00000001630 Stk38l protein_coding 2117 3194 2935 2638 2930 1751 2399 2575 2192 1876 2117 2132 2070 2782 2616 2309 1894 2170 942 885 1083 648
Brpf1 ENSMUSG00000001632 Brpf1 protein_coding 1050 1144 1507 1116 1306 611 1270 1165 1173 972 965 1191 946 1402 1115 1418 614 1080 483 429 588 501
Akr1b3 ENSMUSG00000001642 Akr1b3 protein_coding 1505 1918 2602 1564 1585 1576 1879 1210 989 1072 1099 1105 830 1906 1685 1415 1622 1514 569 564 849 451
Hoxc11 ENSMUSG00000001656 Hoxc11 protein_coding 6 5 0 4 6 4 3 0 2 0 7 5 3 2 5 1 0 2 2 2 5 3
Hoxc8 ENSMUSG00000001657 Hoxc8 protein_coding 17 4 0 1 8 0 10 11 3 7 0 0 4 0 0 3 11 0 1 2 0 3
Hoxc6 ENSMUSG00000001661 Hoxc6 protein_coding 53 7 0 13 30 6 17 11 11 12 10 11 9 5 6 4 25 9 7 12 4 8
Gstt1 ENSMUSG00000001663 Gstt1 protein_coding 890 1071 1205 691 805 381 420 359 227 402 288 344 359 582 680 366 514 409 373 420 558 384
Gstt3 ENSMUSG00000001665 Gstt3 protein_coding 1046 1199 1202 996 1339 849 1020 878 747 1038 709 897 905 1211 1051 797 887 955 358 315 392 244
Ddt ENSMUSG00000001666 Ddt protein_coding 229 269 244 270 288 650 357 300 223 301 208 318 278 343 355 240 586 624 3 9 10 4
Tat ENSMUSG00000001670 Tat protein_coding 527 758 974 1007 786 1050 2955 2348 4266 1319 2808 3379 2483 978 1432 1134 741 1280 227 269 226 130
Marveld3 ENSMUSG00000001672 Marveld3 protein_coding 1607 2276 2854 2089 2399 1774 2369 2690 2241 1921 2152 2234 1816 2869 2106 2212 1926 2251 900 801 946 711
Ddx18 ENSMUSG00000001674 Ddx18 protein_coding 669 906 912 785 754 843 1243 764 718 593 734 758 595 845 970 1215 858 1133 206 360 345 280
Ubl3 ENSMUSG00000001687 Ubl3 protein_coding 2917 3332 3362 2660 3171 3973 3096 2299 1843 1967 1826 1924 1852 3673 3751 3356 3893 4179 1074 1226 1296 985
Gramd3 ENSMUSG00000001700 Gramd3 protein_coding 3012 2532 1366 2490 3002 2484 2648 2509 3314 2617 2435 2903 2902 2832 2715 2603 2411 3018 1100 1333 1349 1260
Eef1e1 ENSMUSG00000001707 Eef1e1 protein_coding 322 379 350 313 453 1154 545 380 399 352 380 431 248 400 548 414 1031 816 100 128 158 116
Akt1 ENSMUSG00000001729 Akt1 protein_coding 5499 5696 6729 5708 5801 4582 8892 3898 4581 4077 4015 5137 3977 7355 7093 8224 5780 8563 2109 1942 2605 1783
Cldn15 ENSMUSG00000001739 Cldn15 protein_coding 5459 3720 1670 3726 5313 2840 3290 2718 2049 2490 2186 1912 1795 3393 3452 3411 2785 3334 2003 1963 2242 1789
Il16 ENSMUSG00000001741 Il16 protein_coding 172 166 219 167 218 282 207 323 149 161 205 204 112 245 311 363 250 271 49 55 74 116
Tcirg1 ENSMUSG00000001750 Tcirg1 protein_coding 1557 1329 1643 1893 1990 1615 2381 3418 3065 2468 2736 3036 2168 1977 1366 2343 1237 1842 631 471 648 562
Naglu ENSMUSG00000001751 Naglu protein_coding 942 933 1165 744 830 345 763 466 392 538 368 444 476 751 725 862 423 643 293 304 415 245
Coasy ENSMUSG00000001755 Coasy protein_coding 933 1087 1018 925 1026 873 1217 987 816 824 824 822 810 1032 917 865 905 1134 363 377 479 345
Smo ENSMUSG00000001761 Smo protein_coding 1075 1175 1498 1097 1082 319 743 480 341 386 365 376 404 866 792 879 605 1054 438 542 533 333
Tspan33 ENSMUSG00000001763 Tspan33 protein_coding 614 570 1088 437 493 137 290 105 69 141 118 105 127 236 306 171 192 142 245 219 342 139
Crnkl1 ENSMUSG00000001767 Crnkl1 protein_coding 739 949 934 880 964 904 1021 851 758 689 844 827 734 913 1016 979 647 907 347 359 473 278
Rin2 ENSMUSG00000001768 Rin2 protein_coding 2048 3068 2939 2176 2313 824 1501 1523 905 1085 1168 1106 1064 2109 1641 2164 675 1105 1111 1046 1298 768
Folh1 ENSMUSG00000001773 Folh1 protein_coding 3 0 3 0 0 3 1 0 0 0 1 0 0 0 0 3 3 1 0 0 0 0
Chordc1 ENSMUSG00000001774 Chordc1 protein_coding 1595 1269 1574 1512 1816 2070 1584 1816 1739 1803 1596 1518 1204 1778 1491 1767 1837 1513 513 469 577 639
Rtcb ENSMUSG00000001783 Rtcb protein_coding 2949 4281 4252 3579 3999 4261 4899 3373 3417 3625 3516 4180 3471 4119 3879 3781 3560 4151 1327 1346 1550 1172
Pwp1 ENSMUSG00000001785 Pwp1 protein_coding 673 737 864 693 823 567 948 496 431 488 518 537 429 751 834 954 764 942 222 234 283 217
Fbxo7 ENSMUSG00000001786 Fbxo7 protein_coding 499 524 569 529 461 519 582 509 424 400 449 596 416 438 441 449 396 391 179 225 247 179
Capns1 ENSMUSG00000001794 Capns1 protein_coding 7559 7348 7944 6507 7499 6305 10176 7787 8018 7968 6629 7887 6840 9394 8445 8681 7117 8364 3071 3240 3870 2407
Lrp3 ENSMUSG00000001802 Lrp3 protein_coding 201 216 240 164 203 45 79 87 42 66 63 52 54 115 102 164 75 68 115 115 96 89
Dsg4 ENSMUSG00000001804 Dsg4 protein_coding 6 7 4 4 8 0 1 5 12 7 4 7 1 9 3 8 0 8 1 2 2 0
Evx2 ENSMUSG00000001815 Evx2 protein_coding 5 139 298 98 79 17 57 66 38 30 45 45 63 85 30 83 32 44 37 28 38 28
Hoxd13 ENSMUSG00000001819 Hoxd13 protein_coding 50 2369 4403 1961 1339 768 1087 1783 836 1130 1429 1355 1323 2312 937 1064 928 1052 594 361 507 394
Hoxd12 ENSMUSG00000001823 Hoxd12 protein_coding 5 109 316 104 101 53 22 91 5 39 37 43 64 286 80 105 83 60 41 41 54 36
Folr1 ENSMUSG00000001827 Folr1 protein_coding 56 25 10 8 11 9 4 6 4 3 2 1 7 3 7 3 10 2 4 5 17 2
Clpb ENSMUSG00000001829 Clpb protein_coding 818 1124 1095 808 1087 415 1053 600 552 580 582 612 592 895 881 993 645 908 333 346 436 364
Sept7 ENSMUSG00000001833 Sept7 protein_coding 2889 3267 3545 2793 3684 3588 3774 3500 3139 2823 2908 3217 2580 3696 3687 3490 3164 3995 1140 1145 1499 1105
Zdhhc4 ENSMUSG00000001844 Zdhhc4 protein_coding 594 601 682 562 588 476 711 608 489 502 534 574 525 621 614 662 573 829 266 272 356 187
Rac1 ENSMUSG00000001847 Rac1 protein_coding 8585 11391 10644 10379 12146 11743 17284 10785 13201 10663 10852 12841 11204 15273 13967 15722 14370 17832 3854 4235 4930 4098
Nup214 ENSMUSG00000001855 Nup214 protein_coding 618 791 1056 812 752 165 806 628 523 499 583 623 536 683 517 967 239 434 303 388 452 305
Aif1l ENSMUSG00000001864 Aif1l protein_coding 28 20 34 25 35 15 12 17 3 9 2 11 5 29 20 24 20 15 12 11 10 11
Cpa3 ENSMUSG00000001865 Cpa3 protein_coding 14 1 0 17 36 16 5 14 13 11 9 14 12 14 5 22 26 27 1 3 2 2
Ltbp1 ENSMUSG00000001870 Ltbp1 protein_coding 718 778 730 585 900 169 562 555 342 382 381 430 426 661 495 966 220 327 279 320 463 285
Ugp2 ENSMUSG00000001891 Ugp2 protein_coding 5156 5969 4557 5165 6891 6472 5945 5055 4408 4660 4556 5307 4807 5746 5688 5190 5878 6421 2070 2101 2332 2246
Kcnh6 ENSMUSG00000001901 Kcnh6 protein_coding 96 64 139 40 53 6 25 27 18 30 10 23 20 37 9 3 7 13 68 51 47 39
Trmt1 ENSMUSG00000001909 Trmt1 protein_coding 1108 1272 1187 1038 1211 1355 1358 881 767 757 835 938 691 1196 1099 1168 1359 1349 431 429 524 335
Nacc1 ENSMUSG00000001910 Nacc1 protein_coding 3535 3961 4396 3649 4628 1432 3835 2657 2587 2526 2312 2721 2566 4058 3430 3934 1968 3170 1545 1494 1885 1518
Nfix ENSMUSG00000001911 Nfix protein_coding 2164 2491 3417 1964 2593 366 1513 992 747 986 910 1027 1055 2229 1475 2238 702 1038 997 1042 1310 890
Slc1a5 ENSMUSG00000001918 Slc1a5 protein_coding 4982 5153 5723 4397 4570 1616 3898 3912 2827 3197 2900 3086 2793 3106 3154 2973 1499 2194 1968 1868 2431 1386
Uba1 ENSMUSG00000001924 Uba1 protein_coding 7074 8663 8844 7342 8699 2507 10372 7075 7207 6664 6014 7734 7310 9345 7691 10539 3363 5936 2686 2549 3919 2555
Vwf ENSMUSG00000001930 Vwf protein_coding 580 657 941 627 951 192 616 379 272 282 255 281 349 908 538 1258 218 322 206 215 313 252
Siae ENSMUSG00000001942 Siae protein_coding 600 831 904 649 798 204 448 455 253 380 359 382 405 594 542 552 216 363 550 576 734 488
Vsig2 ENSMUSG00000001943 Vsig2 protein_coding 708 417 152 310 1606 247 231 166 95 254 116 145 144 812 418 645 719 497 164 126 137 355
Esam ENSMUSG00000001946 Esam protein_coding 515 344 464 339 369 194 306 210 159 190 177 146 185 365 325 386 235 320 143 136 157 142
Spa17 ENSMUSG00000001948 Spa17 protein_coding 42 33 51 28 7 33 18 14 10 10 6 13 14 22 33 32 37 18 7 15 23 12
Fam50a ENSMUSG00000001962 Fam50a protein_coding 623 722 910 755 840 630 940 687 621 704 612 655 599 842 683 745 659 763 267 275 324 203
Emd ENSMUSG00000001964 Emd protein_coding 1048 1115 1279 1180 1258 1211 1553 1023 1106 948 985 1092 892 1467 1434 1389 1673 1681 406 439 629 339
